,Distance(km),Latitude,Longitude,email,fax,latitude,location,longitude,name,phone,rating,search_term,service,website
15,,,,,,,Lot 338 11 / 57 Ankirihiry Nord                         Toamasina                          Madagascar,,Madetrades Madagascar,261-033-33781749,,,"Petrified woods,Centella asiactica / Gotu Kola,Mica,Pine wood,Cinnamon",http://www.business-yellowpages.com/details/382900/madagascar/Madetrades-Madagascar
16,,,,,,,Imm Saidibary Ampasika                         Majunga                          Madagascar,,Madtrader,261-20-6224209,,,"Used aluminium, tropical woods, used oil",http://www.business-yellowpages.com/details/316919/madagascar/Madtrader
17,,,,,,,Lot Ac010160 La Corniche                         Majunga                          Madagascar,,1000 interactive,261-324126966,,,"Solar Water Heaters, Wind Turbines, Solar Panels",http://www.business-yellowpages.com/details/264841/madagascar/1000-interactive
18,,,,,,,Lot 21 / 2 Tanambao City                         67 Ha City                          Madagascar,,CARTERTrade S.A.R.L,261-032-4055862,,,"TROPICAL WOOD,HARDWOOD BOARDS,PLANKS OF HARDWOOD,WOOD FLOORING,PALISANDER OF MADAGASCAR",http://www.business-yellowpages.com/details/229074/madagascar/CARTERTrade-S-A-R-L
19,,,,,,,Lot III E 75 Mahamasina Sud                         ANTANANARIVO                          Madagascar,,Ste T.r.m Sarl Import-export,261-20 -22 292 93,,,MALAGASY PRODUCTSRAW MATERIALS...,http://www.business-yellowpages.com/details/221793/madagascar/Ste-T-r-m-Sarl-Import-export
20,,,,,,,Jean Andriamahady                         Besarety                          Madagascar,,Tina,261-34-0180852,,,"fossil,petrified wood,quartz,other stones",http://www.business-yellowpages.com/details/221550/madagascar/Tina
21,,,,,,,Lot B210a                         Antananarivo                          Madagascar,,"Min Industrial Stone., Ltd.",261-20-2258192,,,"Stone, Industrial Stone, Labradorite, Mineral, Apatite, Quartz, Tormaline, Construction Stone",http://www.business-yellowpages.com/details/214961/madagascar/Min-Industrial-Stone-Ltd
22,,,,,,,zi forello                         Antananarivo                          Madagascar,,Echo distribution,261-3311-07150,,,"PU ,tile,concrete,stone,air condtionner",http://www.business-yellowpages.com/details/212381/madagascar/Echo-distribution
23,,,,,,,Lot II l 6 Ankadivato                         Antananarivo                          Madagascar,,SODITEC,261-2022-59121,,,"electronics,hardware,enamel,toys,heavy duty battery",http://www.business-yellowpages.com/details/58124/madagascar/SODITEC
24,,,, (+261) 32 78 747 90 rafcomada@gmail.com www.facebook.com/rafcoauto,,,AVE DU 14 OCTOBRE - MAJUNGA 401,,RAFCO AUTO PNEUS MADAGASCAR, (+261) 32 78 747 90 rafcomada@gmail.com www.facebook.com/rafcoauto,,material,material, (+261) 32 78 747 90 rafcomada@gmail.com www.facebook.com/rafcoauto
25,,,, (+261) 34 02 840 20 & 34 02 840 21 gerant@alphamada.mu www.alphagroup.mu,,,"AMBOHIBAO, EN FACE DE ACCES BANQUE - TANANARIVE",,ALPHA SERVICE NETTOYAGE, (+261) 34 02 840 20 & 34 02 840 21 gerant@alphamada.mu www.alphagroup.mu,,material,material, (+261) 34 02 840 20 & 34 02 840 21 gerant@alphamada.mu www.alphagroup.mu
26,,,, (+261) 20 22 489 95 & 33 11 582 56 ostnet1@yahoo.fr,,,LOT 35 B AMBOAVAHY AMBOHIMANARINA - ANTANANARIVE,,ORGANISATION DE NETTOYAGE, (+261) 20 22 489 95 & 33 11 582 56 ostnet1@yahoo.fr,,material,material, (+261) 20 22 489 95 & 33 11 582 56 ostnet1@yahoo.fr
27,,,, (+261) 32 11 707 47 eticprod@gmail.com,,,FORT DAUPHIN - MAJUNGA,,ETIC PROD CONSULTING, (+261) 32 11 707 47 eticprod@gmail.com,,office,office, (+261) 32 11 707 47 eticprod@gmail.com
28,,,, (+261) 34 22 465 72 ltd.nikko@gmail.com https://www.facebook.com/nikko.ltd,,,II N 76 CN ANALAMAHITSY - ANTANANARIVO,,NIKKO, (+261) 34 22 465 72 ltd.nikko@gmail.com https://www.facebook.com/nikko.ltd,,office,office, (+261) 34 22 465 72 ltd.nikko@gmail.com https://www.facebook.com/nikko.ltd
29,,,, (+261) 20 22 313 07 (+261) 20 22 271 33 comcem@moov.mg,,,"21, RUE KARIJA - ANTANANARIVO",,BANQUE CEM WESTERN UNION, (+261) 20 22 313 07 (+261) 20 22 271 33 comcem@moov.mg,,office,office, (+261) 20 22 313 07 (+261) 20 22 271 33 comcem@moov.mg
30,,,, (+261) 33 02 366 24 (+261) 33 02 366 24 rabetheo@hotmail.fr,,,"LOT K 4, ANKIAKALAVA - MAROANTSETRA",,BOA MADAGASCAR, (+261) 33 02 366 24 (+261) 33 02 366 24 rabetheo@hotmail.fr,,office,office, (+261) 33 02 366 24 (+261) 33 02 366 24 rabetheo@hotmail.fr
31,,,, (+261) 202 23 85 12 (+261) 202 23 86 63 dollarium@blueline.mg,,,TSARALALANA - ANTANANARIVO,,DOLLARIUM FOREIGN EXCHANGE, (+261) 202 23 85 12 (+261) 202 23 86 63 dollarium@blueline.mg,,office,office, (+261) 202 23 85 12 (+261) 202 23 86 63 dollarium@blueline.mg
32,,,, (+261) 202 25 66 76 (+261) 202 25 63 58 m.change@moov.mg www.madachange.com,,,CITE AMPEFILOHA - 101 ANTANANARIVO,,MADACHANGE, (+261) 202 25 66 76 (+261) 202 25 63 58 m.change@moov.mg www.madachange.com,,office,office, (+261) 202 25 66 76 (+261) 202 25 63 58 m.change@moov.mg www.madachange.com
33,,,, (+261) 202 24 64 36,,,"2, RUE RAHAMETY - ANTANANARIVO",,MASTER CHANGE, (+261) 202 24 64 36,,office,office, (+261) 202 24 64 36
34,,,, (+261) 32 41 441 97 & 32 07 158 58 (+261) 20 22 377 51 nch@moov.mg,,,23 BLD JOFFRE - TAMATAVE,,NCH CHANGE, (+261) 32 41 441 97 & 32 07 158 58 (+261) 20 22 377 51 nch@moov.mg,,office,office, (+261) 32 41 441 97 & 32 07 158 58 (+261) 20 22 377 51 nch@moov.mg
35,,,, (+261) 202 26 17 05 tropic-change@moov.mg,,,"17, RUE RABEZAVANA - ANTANANARIVO",,TROPIC CHANGE, (+261) 202 26 17 05 tropic-change@moov.mg,,office,office, (+261) 202 26 17 05 tropic-change@moov.mg
36,,,, (+261) 202 23 13 07,,,"21, RUE KARIJA - ANTANANARIVO",,WESTERN UNION, (+261) 202 23 13 07,,office,office, (+261) 202 23 13 07
37,,,, (+261) 202 23 84 89 (+261) 202 22 51 96,,,ANTANANARIVO,,WESTERN UNION BANQUE BFV, (+261) 202 23 84 89 (+261) 202 22 51 96,,office,office, (+261) 202 23 84 89 (+261) 202 22 51 96
38,,,, (+261) 20 33 889 99 contact@xchange-madagascar.com www.xchange-madagascar.com,,,55 RUE DR RAZAFINDRANOVONA TSARALALANA - ANTANANARIVO,,XCHANGE, (+261) 20 33 889 99 contact@xchange-madagascar.com www.xchange-madagascar.com,,office,office, (+261) 20 33 889 99 contact@xchange-madagascar.com www.xchange-madagascar.com
39,,,, (+261) 20 22 398 00 (+261) 20 22 309 16 veritas@simicro.mg,,,BP. 12112 - ANTANANARIVO,,BIVAC INTERNATIONAL, (+261) 20 22 398 00 (+261) 20 22 309 16 veritas@simicro.mg,,office,office, (+261) 20 22 398 00 (+261) 20 22 309 16 veritas@simicro.mg
40,,,, (+261) 20 22 253 30 (+261) 20 22 253 83 veritas@simicro.mg,,,BP. 12112 - ANTANANARIVO,,BUREAU VERITAS, (+261) 20 22 253 30 (+261) 20 22 253 83 veritas@simicro.mg,,office,office, (+261) 20 22 253 30 (+261) 20 22 253 83 veritas@simicro.mg
41,,,, (+261) 20 82 220 38 (+261) 20 82 220 08 veritas@simicro.mg,,,"1, BLD GALLIENI, LA GLACIERE - ANTSIRANANA",,BUREAU VERITAS, (+261) 20 82 220 38 (+261) 20 82 220 08 veritas@simicro.mg,,office,office, (+261) 20 82 220 38 (+261) 20 82 220 08 veritas@simicro.mg
42,,,, (+261) 202 22 26 55 (+261) 202 22 63 33 duponsel@moov.mg,,,BP. 405 - ANTANANARIVO,,DUPONSEL & C�, (+261) 202 22 26 55 (+261) 202 22 63 33 duponsel@moov.mg,,office,office, (+261) 202 22 26 55 (+261) 202 22 63 33 duponsel@moov.mg
43,,,, (+261) 205 33 31 75 (+261) 205 33 10 76 tmm.duponsel@moov.mg,,,TOAMASINA,,DUPONSEL & C�, (+261) 205 33 31 75 (+261) 205 33 10 76 tmm.duponsel@moov.mg,,office,office, (+261) 205 33 31 75 (+261) 205 33 10 76 tmm.duponsel@moov.mg
44,,,, (+261) 202 26 06 74 & 202 25 68 38 (+261) 202 25 68 91 madagascar@apave.com www.apave.com,,,AMPEFILOHA - ANTANANARIVO,,PROMAD, (+261) 202 26 06 74 & 202 25 68 38 (+261) 202 25 68 91 madagascar@apave.com www.apave.com,,office,office, (+261) 202 26 06 74 & 202 25 68 38 (+261) 202 25 68 91 madagascar@apave.com www.apave.com
45,,,, (+261) 20 23 564 10 & 20 23 564 11 & 20 23 564 12 (+261) 20 22 564 14 ssc.madagascar@sgs.com www.sgs.com,,,"IMMEUBLE ARIANE, ENCEINTE GALAXY, ANDRAHARO - ANTANANARIVO",,SGS, (+261) 20 23 564 10 & 20 23 564 11 & 20 23 564 12 (+261) 20 22 564 14 ssc.madagascar@sgs.com www.sgs.com,,office,office, (+261) 20 23 564 10 & 20 23 564 11 & 20 23 564 12 (+261) 20 22 564 14 ssc.madagascar@sgs.com www.sgs.com
46,,,, (+261) 20 62 021 69 (+261) 20 62 245 64 ssc.madagascar@sgs.com www.sgs.com,,,"6, RUE RICHELIEU - MAHAJANGA",,SGS, (+261) 20 62 021 69 (+261) 20 62 245 64 ssc.madagascar@sgs.com www.sgs.com,,office,office, (+261) 20 62 021 69 (+261) 20 62 245 64 ssc.madagascar@sgs.com www.sgs.com
47,,,, (+261) 20 53 010 13 (+261) 20 53 335 35 ssc.madagascar@sgs.com www.sgs.com,,,"18, BLD JOFFRE - TOAMASINA",,SGS, (+261) 20 53 010 13 (+261) 20 53 335 35 ssc.madagascar@sgs.com www.sgs.com,,office,office, (+261) 20 53 010 13 (+261) 20 53 335 35 ssc.madagascar@sgs.com www.sgs.com
48,,,, (+261) 202 25 52 87 & 202 22 43 05 (+261) 202 22 43 05 socotec@moov.mg,,,BP. 156 - 101 ANTANANARIVO,,SOCOTEC MADAGASCAR, (+261) 202 25 52 87 & 202 22 43 05 (+261) 202 22 43 05 socotec@moov.mg,,office,office, (+261) 202 25 52 87 & 202 22 43 05 (+261) 202 22 43 05 socotec@moov.mg
49,,,, (+261) 20 23 564 10 & 20 23 564 11 & 20 23 564 12 (+261) 20 22 564 14 ssc.madagascar@sgs.com www.sgs.com,,,"IMMEUBLE ARIANE, ENCEINTE GALAXY, ANDRAHARO - ANTANANARIVO",,SGS, (+261) 20 23 564 10 & 20 23 564 11 & 20 23 564 12 (+261) 20 22 564 14 ssc.madagascar@sgs.com www.sgs.com,,office,office, (+261) 20 23 564 10 & 20 23 564 11 & 20 23 564 12 (+261) 20 22 564 14 ssc.madagascar@sgs.com www.sgs.com
50,,,, (+261) 20 62 021 69 (+261) 20 62 245 64 ssc.madagascar@sgs.com www.sgs.com,,,"6, RUE RICHELIEU - MAHAJANGA",,SGS, (+261) 20 62 021 69 (+261) 20 62 245 64 ssc.madagascar@sgs.com www.sgs.com,,office,office, (+261) 20 62 021 69 (+261) 20 62 245 64 ssc.madagascar@sgs.com www.sgs.com
51,,,, (+261) 20 53 010 13 (+261) 20 53 335 35 ssc.madagascar@sgs.com www.sgs.com,,,"18, BLD JOFFRE - TOAMASINA",,SGS, (+261) 20 53 010 13 (+261) 20 53 335 35 ssc.madagascar@sgs.com www.sgs.com,,office,office, (+261) 20 53 010 13 (+261) 20 53 335 35 ssc.madagascar@sgs.com www.sgs.com
52,,,, (+261) 202 25 52 87 & 202 22 43 05 (+261) 202 22 43 05 socotec@moov.mg,,,BP. 156 - 101 ANTANANARIVO,,SOCOTEC MADAGASCAR, (+261) 202 25 52 87 & 202 22 43 05 (+261) 202 22 43 05 socotec@moov.mg,,office,office, (+261) 202 25 52 87 & 202 22 43 05 (+261) 202 22 43 05 socotec@moov.mg
53,,,, (+261) 20 22 499 00 contact@abc.mg www.abc.mg,,,ENCEINTE LA CITY IVANDRY - ANTANANARIVO,,ABC CONSTRUCTION, (+261) 20 22 499 00 contact@abc.mg www.abc.mg,,material,material, (+261) 20 22 499 00 contact@abc.mg www.abc.mg
54,,,, (+261) 202 22 46 30 (+261) 202 23 64 48 akys@moov.mg,,,BP. 872 - ANTANANARIVO,,AKYS, (+261) 202 22 46 30 (+261) 202 23 64 48 akys@moov.mg,,material,material, (+261) 202 22 46 30 (+261) 202 23 64 48 akys@moov.mg
55,,,, (+261) 209 22 14 14 (+261) 209 22 15 00,,,BP. 138 - FORT DAUPHIN,,BADOURALY RIAZ, (+261) 209 22 14 14 (+261) 209 22 15 00,,material,material, (+261) 209 22 14 14 (+261) 209 22 15 00
56,,,, (+261) 202 22 83 98,,,AVARABOHITRA - ANTANANARIVO,,BAM, (+261) 202 22 83 98,,material,material, (+261) 202 22 83 98
57,,,, (+261) 32 05 317 86 & 33 37 317 86 & 34 05 317 86 batimax.commercial@gmail.com http://batimax-mada.com/fr,,,"IVV44 D QA BIS RUE RASSETA, ANDRAHARO - ANTANANARIVO",,BATIMAX, (+261) 32 05 317 86 & 33 37 317 86 & 34 05 317 86 batimax.commercial@gmail.com http://batimax-mada.com/fr,,material,material, (+261) 32 05 317 86 & 33 37 317 86 & 34 05 317 86 batimax.commercial@gmail.com http://batimax-mada.com/fr
58,,,, (+261) 202 22 27 82 (+261) 202 22 92 59 batpro@moov.mg www.batpro-madagascar.com,,,BP. 757 - 101 ANTANANARIVO,,BATPRO, (+261) 202 22 27 82 (+261) 202 22 92 59 batpro@moov.mg www.batpro-madagascar.com,,material,material, (+261) 202 22 27 82 (+261) 202 22 92 59 batpro@moov.mg www.batpro-madagascar.com
59,,,, (+261) 20 22 294 51 & 20 22 293 88 domoina.nivoharitsima@lafargeholcim.com,,,"1 BIS, RUE PATRICE LUMUMBA TSARALALANA - ANTANANARIVO",,BINASTORE MADAGASCAR, (+261) 20 22 294 51 & 20 22 293 88 domoina.nivoharitsima@lafargeholcim.com,,material,material, (+261) 20 22 294 51 & 20 22 293 88 domoina.nivoharitsima@lafargeholcim.com
60,,,, (+261) 202 20 07 01 (+261) 202 20 20 03 weldom@iris.mg,,,RTE DIGUE - 101 ANTANANARIVO,,BRICOBAT, (+261) 202 20 07 01 (+261) 202 20 20 03 weldom@iris.mg,,material,material, (+261) 202 20 07 01 (+261) 202 20 20 03 weldom@iris.mg
61,,,, (+261) 202 22 09 47 (+261) 202 22 66 82 bricoland.ehb@edelec-group.com,,,RUE RASETA - ANTANANARIVO,,BRICOLAND, (+261) 202 22 09 47 (+261) 202 22 66 82 bricoland.ehb@edelec-group.com,,material,material, (+261) 202 22 09 47 (+261) 202 22 66 82 bricoland.ehb@edelec-group.com
62,,,, (+261) 34 95 662 82 contact@cbat.mg www.cbat.mg,,,"ENCEINTE EX INTERKEM, ANKORONDRANO - ANTANANARIVO",,C'BAT, (+261) 34 95 662 82 contact@cbat.mg www.cbat.mg,,material,material, (+261) 34 95 662 82 contact@cbat.mg www.cbat.mg
63,,,, (+261) 202 22 24 08 (+261) 202 23 35 73 madeco@madecasse.mg www.madecasse.mg,,,BP. 567 - ANTANANARIVO,,COMPAGNIE MADECASSE, (+261) 202 22 24 08 (+261) 202 23 35 73 madeco@madecasse.mg www.madecasse.mg,,material,material, (+261) 202 22 24 08 (+261) 202 23 35 73 madeco@madecasse.mg www.madecasse.mg
64,,,, (+261) 202 23 12 75 (+261) 202 26 95 94 comptoir.taheri@moov.mg,,,"1BIS, BEHORIRIKA - ANTANANARIVO",,COMPTOIR TAHERI BEHORIRIKA, (+261) 202 23 12 75 (+261) 202 26 95 94 comptoir.taheri@moov.mg,,material,material, (+261) 202 23 12 75 (+261) 202 26 95 94 comptoir.taheri@moov.mg
65,,,, (+261) 20 22 281 05 (+261) 20 22 304 81 disconord@blueline.mg www.disconord.com,,,"BP. 3597, TANJOMBATO - ANTANANARIVO",,DISCONORD, (+261) 20 22 281 05 (+261) 20 22 304 81 disconord@blueline.mg www.disconord.com,,material,material, (+261) 20 22 281 05 (+261) 20 22 304 81 disconord@blueline.mg www.disconord.com
66,,,, (+261) 202 24 58 39 (+261) 202 24 45 59 tw@moov.mg,,,BP. 163 - ANTANANARIVO,,ENAC, (+261) 202 24 58 39 (+261) 202 24 45 59 tw@moov.mg,,material,material, (+261) 202 24 58 39 (+261) 202 24 45 59 tw@moov.mg
67,,,, (+261) 202 22 03 26 (+261) 202 22 22 53 bonnetfils@simicro.mg www.bonnet-fils.com,,,BP. 605 - ANTANANARIVO,,FBF, (+261) 202 22 03 26 (+261) 202 22 22 53 bonnetfils@simicro.mg www.bonnet-fils.com,,material,material, (+261) 202 22 03 26 (+261) 202 22 22 53 bonnetfils@simicro.mg www.bonnet-fils.com
68,,,, (+261) 32 07 833 31 g4s.ftu.tech@mg.g4s.com,,,QMM - FORT DAUPHIN,,G4S, (+261) 32 07 833 31 g4s.ftu.tech@mg.g4s.com,,material,material, (+261) 32 07 833 31 g4s.ftu.tech@mg.g4s.com
69,,,, (+261) 202 23 14 83 (+261) 202 26 24 81 showroom@hazovato.com,,,BP. 414 - ANTANANARIVO,,HAZOVATO, (+261) 202 23 14 83 (+261) 202 26 24 81 showroom@hazovato.com,,material,material, (+261) 202 23 14 83 (+261) 202 26 24 81 showroom@hazovato.com
70,,,, (+261) 202 22 39 78 (+261) 202 23 32 77 holcim-mdg@holcim.com,,,BP. 332 - ANTANANARIVO,,HOLCIM, (+261) 202 22 39 78 (+261) 202 23 32 77 holcim-mdg@holcim.com,,material,material, (+261) 202 22 39 78 (+261) 202 23 32 77 holcim-mdg@holcim.com
71,,,, (+261) 205 33 04 35,,,"13, RUE REINE BETTY - TOAMASINA",,J BATIMENT, (+261) 205 33 04 35,,material,material, (+261) 205 33 04 35
72,,,, (+261) 20 23 383 97 contact@lacentrale.mg www.lacentralebtp.com,,,"ENCEINTE LA CENTRALE, ALAROBIA - ANTANANARIVO",,LA CENTRALE, (+261) 20 23 383 97 contact@lacentrale.mg www.lacentralebtp.com,,material,material, (+261) 20 23 383 97 contact@lacentrale.mg www.lacentralebtp.com
73,,,, (+261) 205 33 25 15 (+261) 205 33 25 16 lopez@simicro.mg,,,BP. 585 - TOAMASINA,,LOPEZ & C�, (+261) 205 33 25 15 (+261) 205 33 25 16 lopez@simicro.mg,,material,material, (+261) 205 33 25 15 (+261) 205 33 25 16 lopez@simicro.mg
74,,,, (+261) 34 14 137 65 madastone@yahoo.fr www.madastone.net,,,"LOT IG 10, AMBATOMARO - ANTANANARIVO 101",,MADASTONE, (+261) 34 14 137 65 madastone@yahoo.fr www.madastone.net,,material,material, (+261) 34 14 137 65 madastone@yahoo.fr www.madastone.net
75,,,, (+261) 202 24 67 12 (+261) 202 24 67 29 makiplast@makiplast.com,,,BP. 9195 - ANTANANARIVO,,MAKIPLAST, (+261) 202 24 67 12 (+261) 202 24 67 29 makiplast@makiplast.com,,material,material, (+261) 202 24 67 12 (+261) 202 24 67 29 makiplast@makiplast.com
76,,,, (+261) 208 22 22 51 (+261) 208 22 10 67 maraj@moov.mg,,,BP. 192 - ANTSIRANANA,,MARAJ, (+261) 208 22 22 51 (+261) 208 22 10 67 maraj@moov.mg,,material,material, (+261) 208 22 22 51 (+261) 208 22 10 67 maraj@moov.mg
77,,,, (+261) 032 43 213 78 & 034 43 213 78 metaplasco.sarl@gmail.com,,,ANOSIVAVAKA - ANTANANARIVO,,METAPLASCO, (+261) 032 43 213 78 & 034 43 213 78 metaplasco.sarl@gmail.com,,material,material, (+261) 032 43 213 78 & 034 43 213 78 metaplasco.sarl@gmail.com
78,,,, (+261) 202 23 69 07 (+261) 202 26 99 71 mr.bricolage@simicro.mg www.bricolage-madagascar.com,,,BP. 12028 - ANTANANARIVO,,MR BRICOLAGE, (+261) 202 23 69 07 (+261) 202 26 99 71 mr.bricolage@simicro.mg www.bricolage-madagascar.com,,material,material, (+261) 202 23 69 07 (+261) 202 26 99 71 mr.bricolage@simicro.mg www.bricolage-madagascar.com
79,,,, (+261) 202 20 43 07 (+261) 202 22 48 86 panomad@moov.mg,,,BP. 1397 - ANTANANARIVO,,PANOMAD, (+261) 202 20 43 07 (+261) 202 22 48 86 panomad@moov.mg,,material,material, (+261) 202 20 43 07 (+261) 202 22 48 86 panomad@moov.mg
80,,,, (+261) 202 24 40 72 (+261) 202 24 88 56 pacom58@moov.mg,,,RTE DIGUE - ANTANANARIVO,,POINT PACOM, (+261) 202 24 40 72 (+261) 202 24 88 56 pacom58@moov.mg,,material,material, (+261) 202 24 40 72 (+261) 202 24 88 56 pacom58@moov.mg
81,,,, (+261) 202 24 77 55 (+261) 202 24 77 54 ventes@oimjb.com,,,BP. 269 - ANTANANARIVO,,PROMA, (+261) 202 24 77 55 (+261) 202 24 77 54 ventes@oimjb.com,,material,material, (+261) 202 24 77 55 (+261) 202 24 77 54 ventes@oimjb.com
82,,,, (+261) 34 60 100 63 sstrading.mg@gmail.com,,,TANJOMBATO FRANCE PUB - ANTANANARIVO,,S.S TRADING, (+261) 34 60 100 63 sstrading.mg@gmail.com,,material,material, (+261) 34 60 100 63 sstrading.mg@gmail.com
83,,,, (+261) 202 25 77 15 (+261) 202 25 76 97 sanca@sanca.mg www.batissor.com,,,BP. 1157 - ANTANANARIVO,,SANCA, (+261) 202 25 77 15 (+261) 202 25 76 97 sanca@sanca.mg www.batissor.com,,material,material, (+261) 202 25 77 15 (+261) 202 25 76 97 sanca@sanca.mg www.batissor.com
84,,,, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg,,,BP. 1481 - ANTANANARIVO,,SANIFER, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg,,material,material, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg
85,,,, (+261) 204 44 98 82 (+261) 204 44 98 84,,,BP. 174 - ANTANANARIVO,,STEDIC RAVATE, (+261) 204 44 98 82 (+261) 204 44 98 84,,material,material, (+261) 204 44 98 82 (+261) 204 44 98 84
86,,,, (+261) 202 22 65 08 (+261) 202 22 65 08,,,AMPITATAFIKA - ANTANANARIVO,,SUD AGGLO, (+261) 202 22 65 08 (+261) 202 22 65 08,,material,material, (+261) 202 22 65 08 (+261) 202 22 65 08
87,,,, (+261) 331 21 02 24 & 202 24 05 12 (+261) 202 24 13 32 super.tole@yahoo.fr www.super-tole.sitew.com,,,LOT II D 53 E BIS MANJAKARAY - ANTANANARIVO,,TOP TOLE SUPER TOLE, (+261) 331 21 02 24 & 202 24 05 12 (+261) 202 24 13 32 super.tole@yahoo.fr www.super-tole.sitew.com,,material,material, (+261) 331 21 02 24 & 202 24 05 12 (+261) 202 24 13 32 super.tole@yahoo.fr www.super-tole.sitew.com
88,,,, (+261) 202 23 15 12 (+261) 202 23 55 88,,,RTE MAHAJANGA - ANTANANARIVO,,TRANOMBAROTRA MALAZA, (+261) 202 23 15 12 (+261) 202 23 55 88,,material,material, (+261) 202 23 15 12 (+261) 202 23 55 88
89,,,, (+261) 202 26 32 91 (+261) 202 23 15 95 ubp@netclub.mg,,,"30, RUE RANARIVELO - ANTANANARIVO",,UBP TANA, (+261) 202 26 32 91 (+261) 202 23 15 95 ubp@netclub.mg,,material,material, (+261) 202 26 32 91 (+261) 202 23 15 95 ubp@netclub.mg
